City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Crime_Index
Aberdeen Township,18378.0,11.0,0.0,2.0,2.0,7.0,163.0,18.0,137.0,8.0,0.0,189.35683969964086
Absecon,8252.0,17.0,1.0,1.0,5.0,10.0,181.0,16.0,159.0,6.0,0.0,479.88366456616575
Allendale,6865.0,3.0,0.0,1.0,0.0,2.0,30.0,4.0,23.0,3.0,0.0,96.13983976693372
Allenhurst,488.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,286.88524590163934
Allentown,1809.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,55.2791597567717
Alpha,2288.0,1.0,0.0,1.0,0.0,0.0,38.0,6.0,32.0,0.0,0.0,340.9090909090909
Alpine,1873.0,1.0,0.0,1.0,0.0,0.0,24.0,4.0,11.0,9.0,0.0,266.9514148424987
Andover Township,5936.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,9.0,1.0,0.0,53.90835579514825
Asbury Park,15717.0,174.0,3.0,10.0,54.0,107.0,653.0,101.0,538.0,14.0,1.0,1052.9999363746263
Atlantic City,38271.0,276.0,7.0,11.0,131.0,127.0,1181.0,116.0,994.0,71.0,1.0,761.673329675211
Atlantic Highlands,4302.0,1.0,0.0,0.0,0.0,1.0,40.0,2.0,38.0,0.0,0.0,190.60901906090191
Audubon,8599.0,0.0,0.0,0.0,0.0,0.0,296.0,28.0,262.0,6.0,0.0,688.4521455983254
Audubon Park,997.0,4.0,0.0,0.0,0.0,4.0,11.0,4.0,6.0,1.0,0.0,300.90270812437313
Avalon,1258.0,2.0,0.0,0.0,0.0,2.0,138.0,7.0,130.0,1.0,0.0,2225.7551669316376
Avon-by-the-Sea,1780.0,1.0,0.0,0.0,0.0,1.0,31.0,3.0,26.0,2.0,0.0,359.55056179775283
Barnegat Light,580.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,413.7931034482759
Barnegat Township,22777.0,13.0,0.0,5.0,1.0,7.0,120.0,25.0,92.0,3.0,0.0,116.7844755674584
Barrington,6661.0,5.0,0.0,0.0,0.0,5.0,113.0,16.0,94.0,3.0,1.0,355.8024320672572
Bay Head,971.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,1.0,0.0,350.15447991761073
Bayonne,66824.0,114.0,0.0,12.0,47.0,55.0,773.0,97.0,587.0,89.0,3.0,265.9224230815276
Beach Haven,1169.0,0.0,0.0,0.0,0.0,0.0,118.0,3.0,114.0,1.0,0.0,2018.819503849444
Beachwood,11146.0,6.0,0.0,1.0,5.0,0.0,130.0,19.0,111.0,0.0,0.0,244.0337340750045
Bedminster Township,8126.0,1.0,0.0,0.0,1.0,0.0,34.0,5.0,26.0,3.0,0.0,86.14324390844205
Belleville,36075.0,62.0,0.0,1.0,17.0,44.0,589.0,87.0,414.0,88.0,0.0,360.91476091476096
Bellmawr,11312.0,8.0,0.0,0.0,1.0,7.0,158.0,28.0,122.0,8.0,0.0,293.4936350777935
Belmar,5666.0,6.0,0.0,3.0,2.0,1.0,83.0,16.0,63.0,4.0,0.0,314.1546064242852
Belvidere,2592.0,1.0,0.0,0.0,0.0,1.0,47.0,18.0,27.0,2.0,0.0,370.3703703703703
Bergenfield,27684.0,1.0,0.0,0.0,1.0,0.0,76.0,12.0,60.0,4.0,0.0,55.62779945094639
Berkeley Heights Township,13646.0,4.0,0.0,1.0,0.0,3.0,60.0,14.0,38.0,8.0,0.0,93.80038106404807
Berkeley Township,41331.0,25.0,0.0,6.0,6.0,13.0,378.0,68.0,300.0,10.0,0.0,195.0110086859742
Berlin,7495.0,13.0,0.0,2.0,0.0,11.0,123.0,12.0,103.0,8.0,1.0,364.2428285523682
Berlin Township,5532.0,4.0,0.0,1.0,1.0,2.0,163.0,15.0,144.0,4.0,1.0,605.5676066522053
Bernards Township,26813.0,2.0,0.0,0.0,1.0,1.0,87.0,13.0,66.0,8.0,0.0,66.38570842501771
Bernardsville,7742.0,1.0,0.0,0.0,0.0,1.0,39.0,2.0,36.0,1.0,0.0,103.33247222939809
Beverly,2497.0,7.0,0.0,1.0,0.0,6.0,44.0,20.0,22.0,2.0,0.0,408.490188225871
Blairstown Township,5787.0,3.0,0.0,0.0,0.0,3.0,30.0,16.0,13.0,1.0,0.0,114.04872991187145
Bloomfield,50777.0,50.0,2.0,1.0,19.0,28.0,647.0,71.0,488.0,88.0,1.0,274.7306851527266
Bloomingdale,8211.0,1.0,0.0,0.0,0.0,1.0,37.0,6.0,30.0,1.0,0.0,92.55876263548897
Bogota,8499.0,2.0,1.0,0.0,1.0,0.0,45.0,8.0,34.0,3.0,0.0,110.60124720555359
Boonton,8236.0,7.0,0.0,1.0,2.0,4.0,94.0,11.0,79.0,4.0,0.0,245.26469159786305
Boonton Township,4299.0,2.0,0.0,1.0,1.0,0.0,24.0,3.0,20.0,1.0,0.0,120.95836240986276
Bordentown City,3823.0,3.0,0.0,0.0,2.0,1.0,23.0,7.0,11.0,5.0,0.0,136.0188333769291
Bordentown Township,12323.0,14.0,0.0,3.0,3.0,8.0,99.0,15.0,72.0,12.0,0.0,183.39690010549378
Bound Brook,10360.0,13.0,0.0,2.0,9.0,2.0,114.0,33.0,75.0,6.0,0.0,245.17374517374517
Bradley Beach,4214.0,1.0,0.0,1.0,0.0,0.0,55.0,2.0,53.0,0.0,0.0,265.78073089700996
Branchburg Township,14577.0,4.0,0.0,2.0,0.0,2.0,80.0,5.0,70.0,5.0,0.0,115.25005145091582
Brick Township,74712.0,65.0,0.0,12.0,8.0,45.0,904.0,113.0,768.0,23.0,4.0,259.93147017882
Bridgeton,24386.0,203.0,5.0,12.0,107.0,79.0,720.0,163.0,510.0,47.0,2.0,757.8118592635119
Bridgewater Township,45050.0,16.0,0.0,0.0,9.0,7.0,331.0,53.0,265.0,13.0,0.0,154.05105438401776
Brielle,4719.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,14.0,5.0,0.0,97.47827929646111
Brigantine,8896.0,1.0,0.0,0.0,0.0,1.0,129.0,23.0,105.0,1.0,0.0,292.2661870503597
Brooklawn,1904.0,16.0,0.0,3.0,6.0,7.0,132.0,8.0,116.0,8.0,0.0,1554.6218487394958
Buena,4405.0,5.0,0.0,0.0,1.0,4.0,72.0,13.0,58.0,1.0,0.0,349.60272417707154
Burlington City,9817.0,37.0,1.0,1.0,10.0,25.0,211.0,60.0,139.0,12.0,0.0,505.24600183355403
Burlington Township,22857.0,35.0,0.0,7.0,10.0,18.0,274.0,45.0,218.0,11.0,0.0,270.37668985431156
Butler,7679.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,37.0,2.0,0.0,130.22528975126968
Byram Township,7925.0,3.0,0.0,1.0,0.0,2.0,45.0,4.0,40.0,1.0,0.0,121.13564668769715
Caldwell,7999.0,5.0,0.0,2.0,0.0,3.0,49.0,16.0,31.0,2.0,0.0,135.0168771096387
Califon,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camden County Police Department,73140.0,1198.0,23.0,64.0,355.0,756.0,2219.0,458.0,1242.0,519.0,40.0,939.8414000546896
Cape May,3463.0,4.0,0.0,1.0,0.0,3.0,72.0,8.0,62.0,2.0,0.0,438.9257868899798
Cape May Point,277.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,144.4043321299639
Carlstadt,6252.0,6.0,0.0,0.0,2.0,4.0,87.0,5.0,79.0,3.0,0.0,297.5047984644914
Carney's Point Township,7655.0,16.0,0.0,4.0,7.0,5.0,86.0,23.0,60.0,3.0,1.0,267.79882429784453
Carteret,23921.0,45.0,1.0,4.0,15.0,25.0,295.0,35.0,236.0,24.0,2.0,285.10513774507757
Cedar Grove Township,12566.0,4.0,0.0,0.0,2.0,2.0,86.0,17.0,63.0,6.0,0.0,143.24367340442464
Chatham,8793.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,30.0,4.0,0.0,88.70692596383488
Chatham Township,10288.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,26.0,5.0,0.0,64.15241057542768
Cherry Hill Township,70578.0,92.0,0.0,0.0,57.0,35.0,2026.0,148.0,1839.0,39.0,1.0,600.3287143302446
Chesilhurst,1617.0,3.0,0.0,0.0,0.0,3.0,47.0,22.0,19.0,6.0,1.0,624.6134817563388
Chester,1643.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,73.03712720632988
Chesterfield Township,7567.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,1.0,0.0,37.00277520814061
Chester Township,7809.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,14.0,3.0,0.0,56.345242668715585
Cinnaminson Township,16630.0,14.0,0.0,3.0,3.0,8.0,286.0,42.0,237.0,7.0,0.0,360.7937462417318
Clark Township,16079.0,4.0,0.0,0.0,2.0,2.0,227.0,7.0,213.0,7.0,0.0,287.33130169786676
Clayton,8624.0,10.0,0.0,1.0,3.0,6.0,70.0,7.0,58.0,5.0,0.0,185.5287569573284
Clementon,4887.0,11.0,0.0,0.0,8.0,3.0,139.0,45.0,87.0,7.0,0.0,613.8735420503376
Cliffside Park,25001.0,15.0,0.0,5.0,4.0,6.0,150.0,17.0,121.0,12.0,0.0,131.99472021119155
Clifton,85732.0,97.0,1.0,3.0,43.0,50.0,1354.0,162.0,1096.0,96.0,1.0,338.61335324033035
Clinton,2699.0,1.0,0.0,0.0,0.0,1.0,13.0,5.0,7.0,1.0,0.0,103.74212671359764
Clinton Township,12824.0,1.0,0.0,1.0,0.0,0.0,50.0,15.0,34.0,1.0,0.0,79.53836556456643
Closter,8691.0,1.0,0.0,0.0,0.0,1.0,58.0,1.0,49.0,8.0,0.0,135.7726383615234
Collingswood,13843.0,30.0,0.0,3.0,13.0,14.0,279.0,51.0,200.0,28.0,2.0,447.87979484215845
Colts Neck Township,9944.0,8.0,5.0,0.0,1.0,2.0,51.0,8.0,29.0,14.0,1.0,119.67015285599356
Cranbury Township,3900.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,35.0,1.0,0.0,189.74358974358975
Cranford Township,24353.0,7.0,0.0,0.0,2.0,5.0,145.0,7.0,131.0,7.0,0.0,124.83061635116825
Cresskill,8862.0,1.0,0.0,0.0,0.0,1.0,47.0,11.0,25.0,11.0,0.0,108.32769126607988
Deal,730.0,2.0,0.0,0.0,0.0,2.0,23.0,2.0,12.0,9.0,0.0,684.931506849315
Delanco Township,4509.0,5.0,0.0,3.0,2.0,0.0,47.0,12.0,32.0,3.0,0.0,230.64981148813484
Delaware Township,4461.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,9.0,3.0,0.0,67.24949562878278
Delran Township,16579.0,8.0,0.0,3.0,2.0,3.0,176.0,26.0,143.0,7.0,0.0,221.96754930936726
Demarest,4977.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,10.0,9.0,0.0,84.38818565400844
Denville Township,16737.0,2.0,0.0,1.0,1.0,0.0,90.0,7.0,77.0,6.0,1.0,110.53354842564379
Deptford Township,30137.0,47.0,2.0,8.0,22.0,15.0,1153.0,163.0,954.0,36.0,0.0,796.3632743803298
Dover,17982.0,26.0,0.0,1.0,10.0,15.0,187.0,32.0,141.0,14.0,1.0,237.45968190412637
Dumont,17825.0,5.0,0.0,0.0,2.0,3.0,49.0,6.0,43.0,0.0,0.0,60.589060308555396
Dunellen,7328.0,3.0,0.0,0.0,1.0,2.0,97.0,14.0,82.0,1.0,0.0,272.92576419213975
Eastampton Township,5940.0,6.0,0.0,1.0,2.0,3.0,59.0,13.0,42.0,4.0,0.0,218.85521885521885
East Brunswick Township,48342.0,32.0,0.0,4.0,8.0,20.0,632.0,70.0,553.0,9.0,0.0,274.70936245914527
East Greenwich Township,10504.0,4.0,0.0,0.0,0.0,4.0,68.0,12.0,50.0,6.0,0.0,137.09063214013707
East Hanover Township,11084.0,2.0,0.0,0.0,0.0,2.0,106.0,16.0,83.0,7.0,0.0,194.87549621075425
East Newark,2740.0,1.0,0.0,0.0,1.0,0.0,44.0,4.0,30.0,10.0,0.0,328.46715328467155
East Orange,64625.0,333.0,6.0,21.0,133.0,173.0,904.0,168.0,522.0,214.0,9.0,384.2166344294004
East Rutherford,9941.0,14.0,0.0,3.0,3.0,8.0,148.0,15.0,123.0,10.0,0.0,325.92294537772864
East Windsor Township,27401.0,18.0,0.0,5.0,8.0,5.0,171.0,7.0,160.0,4.0,1.0,138.31611984964053
Eatontown,12364.0,30.0,0.0,10.0,8.0,12.0,277.0,17.0,255.0,5.0,0.0,496.6030410870269
Edgewater,12318.0,13.0,0.0,0.0,3.0,10.0,137.0,3.0,127.0,7.0,0.0,243.54603019970773
Edgewater Park Township,8713.0,15.0,1.0,3.0,5.0,6.0,126.0,31.0,75.0,20.0,0.0,323.6543096522438
Edison Township,101309.0,120.0,2.0,8.0,44.0,66.0,1147.0,166.0,899.0,82.0,4.0,250.52068424325577
Egg Harbor City,4162.0,9.0,0.0,0.0,4.0,5.0,122.0,35.0,85.0,2.0,0.0,629.5050456511293
Egg Harbor Township,43276.0,62.0,1.0,4.0,10.0,47.0,902.0,114.0,765.0,23.0,5.0,446.66789906645715
Elizabeth,129080.0,897.0,3.0,43.0,386.0,465.0,4002.0,602.0,2655.0,745.0,7.0,759.6064456151224
Elk Township,4116.0,1.0,0.0,0.0,0.0,1.0,34.0,7.0,26.0,1.0,1.0,172.49757045675412
Elmer,1301.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,61.49116064565719
Elmwood Park,20277.0,33.0,0.0,0.0,14.0,19.0,342.0,37.0,284.0,21.0,0.0,369.8772007693446
Elsinboro Township,968.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1.0,1.0,196.28099173553719
Emerson,7679.0,2.0,0.0,0.0,0.0,2.0,36.0,2.0,32.0,2.0,0.0,98.97122021096497
Englewood,28988.0,85.0,0.0,6.0,19.0,60.0,281.0,45.0,215.0,21.0,0.0,252.51828342762525
Englewood Cliffs,5395.0,1.0,0.0,0.0,0.0,1.0,62.0,17.0,38.0,7.0,0.0,233.54958294717332
Englishtown,1959.0,6.0,0.0,2.0,0.0,4.0,20.0,2.0,15.0,3.0,0.0,265.44155181214904
Essex Fells,2109.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11.0,4.0,0.0,142.2475106685633
Evesham Township,45354.0,34.0,0.0,0.0,11.0,23.0,506.0,53.0,445.0,8.0,1.0,238.3472240596199
Ewing Township,36142.0,69.0,0.0,13.0,18.0,38.0,685.0,113.0,511.0,61.0,3.0,418.0731558851198
"Fairfield Township, Essex County",7528.0,7.0,0.0,0.0,2.0,5.0,176.0,9.0,149.0,18.0,1.0,487.5132837407014
Fair Haven,5927.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,19.0,3.0,0.0,80.98532141049435
Fair Lawn,33413.0,19.0,2.0,0.0,4.0,13.0,304.0,39.0,255.0,10.0,0.0,193.33792236554635
Fairview,14428.0,35.0,0.0,0.0,25.0,10.0,144.0,29.0,109.0,6.0,0.0,248.1286387579706
Fanwood,7768.0,1.0,0.0,0.0,1.0,0.0,32.0,7.0,25.0,0.0,0.0,84.96395468589083
Far Hills,918.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,152.5054466230937
Fieldsboro,529.0,1.0,0.0,0.0,0.0,1.0,11.0,3.0,6.0,2.0,0.0,453.6862003780719
Flemington,4627.0,4.0,0.0,1.0,2.0,1.0,64.0,10.0,50.0,4.0,0.0,293.9269505078885
Florence Township,12748.0,13.0,0.0,3.0,2.0,8.0,89.0,30.0,55.0,4.0,0.0,160.02510197678066
Florham Park,11602.0,3.0,0.0,0.0,2.0,1.0,65.0,8.0,53.0,4.0,0.0,117.2211687640062
Fort Lee,37729.0,22.0,0.0,3.0,6.0,13.0,271.0,32.0,220.0,19.0,1.0,155.58323835776193
Franklin,4735.0,5.0,1.0,3.0,0.0,1.0,37.0,1.0,36.0,0.0,0.0,177.40232312566
Franklin Lakes,11191.0,1.0,0.0,0.0,1.0,0.0,59.0,7.0,46.0,6.0,0.0,107.22902332231257
"Franklin Township, Gloucester County",16225.0,9.0,0.0,0.0,3.0,6.0,236.0,52.0,171.0,13.0,6.0,305.7010785824345
"Franklin Township, Hunterdon County",3238.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,27.0,0.0,0.0,185.2995676343422
"Franklin Township, Somerset County",66624.0,48.0,1.0,12.0,17.0,18.0,670.0,114.0,504.0,52.0,1.0,215.68804034582132
Freehold Borough,11873.0,16.0,0.0,1.0,7.0,8.0,129.0,41.0,81.0,7.0,0.0,244.25166343805273
Freehold Township,34896.0,41.0,2.0,5.0,9.0,25.0,451.0,26.0,410.0,15.0,0.0,281.9807427785419
Frenchtown,1363.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.67351430667645
Galloway Township,36467.0,73.0,0.0,2.0,8.0,63.0,399.0,90.0,295.0,14.0,1.0,259.1383991005567
Garfield,32203.0,79.0,0.0,11.0,27.0,41.0,585.0,61.0,480.0,44.0,1.0,412.6944694593671
Garwood,4370.0,1.0,0.0,0.0,0.0,1.0,32.0,5.0,26.0,1.0,0.0,151.02974828375287
Gibbsboro,2211.0,4.0,0.0,0.0,1.0,3.0,28.0,12.0,16.0,0.0,0.0,289.4617819990954
Glassboro,19938.0,38.0,0.0,3.0,10.0,25.0,327.0,69.0,250.0,8.0,3.0,367.63968301735383
Glen Ridge,7622.0,1.0,0.0,0.0,1.0,0.0,158.0,24.0,121.0,13.0,0.0,417.21332983468903
Glen Rock,11937.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,47.0,1.0,1.0,82.93541090726313
Gloucester City,11167.0,34.0,0.0,0.0,13.0,21.0,269.0,47.0,204.0,18.0,0.0,542.670368048715
Gloucester Township,63198.0,78.0,5.0,10.0,24.0,39.0,945.0,90.0,839.0,16.0,3.0,324.21912085825505
Green Brook Township,7138.0,10.0,0.0,0.0,2.0,8.0,94.0,21.0,61.0,12.0,0.0,291.3981507425049
"Greenwich Township, Gloucester County",4769.0,7.0,0.0,0.0,1.0,6.0,68.0,7.0,56.0,5.0,0.0,314.53134829104636
"Greenwich Township, Warren County",5510.0,0.0,0.0,0.0,0.0,0.0,99.0,6.0,93.0,0.0,0.0,359.34664246823957
Guttenberg,11602.0,28.0,1.0,5.0,10.0,12.0,99.0,20.0,74.0,5.0,0.0,218.92777107395275
Hackensack,44926.0,116.0,0.0,15.0,28.0,73.0,649.0,36.0,578.0,35.0,0.0,340.5600320527089
Hackettstown,9530.0,5.0,0.0,1.0,1.0,3.0,46.0,2.0,40.0,4.0,0.0,107.03043022035676
Haddonfield,11253.0,6.0,0.0,1.0,1.0,4.0,100.0,21.0,78.0,1.0,0.0,188.39420598951392
Haddon Heights,7497.0,3.0,0.0,0.0,1.0,2.0,41.0,12.0,28.0,1.0,0.0,117.38028544751234
Haddon Township,14500.0,19.0,0.0,0.0,13.0,6.0,247.0,37.0,199.0,11.0,1.0,367.58620689655174
Haledon,8363.0,15.0,0.0,0.0,1.0,14.0,120.0,23.0,89.0,8.0,0.0,322.85065168001915
Hamburg,3109.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,10.0,0.0,0.0,77.19523962688967
"Hamilton Township, Atlantic County",26380.0,57.0,2.0,3.0,13.0,39.0,857.0,98.0,736.0,23.0,4.0,694.4655041698257
"Hamilton Township, Mercer County",87889.0,116.0,4.0,12.0,50.0,50.0,1700.0,325.0,1296.0,79.0,3.0,413.5898690393565
Hammonton,14311.0,9.0,0.0,0.0,5.0,4.0,149.0,30.0,111.0,8.0,0.0,220.8091677730417
Hanover Township,14583.0,4.0,0.0,2.0,1.0,1.0,161.0,10.0,143.0,8.0,0.0,226.29088664883767
Harding Township,3824.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,11.0,2.0,0.0,94.14225941422595
Hardyston Township,7823.0,7.0,0.0,1.0,0.0,6.0,38.0,9.0,27.0,2.0,1.0,116.32366099961652
Harrington Park,4802.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,3.0,3.0,0.0,54.14410662224073
Harrison,18058.0,41.0,1.0,5.0,11.0,24.0,373.0,45.0,259.0,69.0,0.0,458.52253848709717
Harrison Township,12915.0,2.0,0.0,1.0,1.0,0.0,67.0,13.0,53.0,1.0,0.0,106.85249709639953
Harvey Cedars,338.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,21.0,0.0,0.0,1420.1183431952663
Hasbrouck Heights,12163.0,1.0,0.0,0.0,0.0,1.0,51.0,0.0,51.0,0.0,0.0,85.50522075145935
Haworth,3463.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,69.30407161420733
Hawthorne,18874.0,2.0,0.0,0.0,2.0,0.0,177.0,28.0,139.0,10.0,0.0,189.67892338666948
Hazlet Township,19970.0,23.0,0.0,4.0,4.0,15.0,208.0,13.0,187.0,8.0,0.0,231.34702053079621
Helmetta,2198.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,72.79344858962693
High Bridge,3528.0,4.0,0.0,0.0,0.0,4.0,21.0,8.0,13.0,0.0,0.0,141.7233560090703
Highland Park,13989.0,8.0,1.0,0.0,1.0,6.0,166.0,20.0,141.0,5.0,0.0,248.7668882693545
Highlands,4794.0,1.0,0.0,0.0,0.0,1.0,28.0,4.0,24.0,0.0,0.0,120.98456403838132
Hightstown,5289.0,1.0,0.0,1.0,0.0,0.0,34.0,6.0,28.0,0.0,0.0,132.35016071090942
Hillsborough Township,39796.0,15.0,0.0,6.0,1.0,8.0,240.0,46.0,190.0,4.0,2.0,128.65614634636646
Hillsdale,10484.0,3.0,0.0,0.0,1.0,2.0,41.0,3.0,37.0,1.0,0.0,83.93742846241892
Hillside Township,22078.0,41.0,0.0,2.0,22.0,17.0,540.0,72.0,372.0,96.0,0.0,526.3157894736842
Hi-Nella,855.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,257.3099415204679
Hoboken,55096.0,119.0,0.0,4.0,23.0,92.0,862.0,99.0,726.0,37.0,0.0,356.1057064033687
Ho-Ho-Kus,4139.0,1.0,0.0,0.0,0.0,1.0,31.0,10.0,20.0,1.0,0.0,154.62672143029718
Holland Township,5128.0,4.0,0.0,2.0,0.0,2.0,9.0,2.0,6.0,1.0,0.0,50.702028081123245
Holmdel Township,16621.0,4.0,0.0,2.0,0.0,2.0,129.0,6.0,108.0,15.0,2.0,161.24180253895673
Hopatcong,14183.0,6.0,0.0,0.0,0.0,6.0,42.0,3.0,33.0,6.0,0.0,67.68666713671297
Hopewell Borough,1921.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,62.46746486205102
Hopewell Township,18000.0,8.0,0.0,5.0,1.0,2.0,76.0,18.0,58.0,0.0,0.0,93.33333333333334
Howell Township,52672.0,36.0,0.0,4.0,8.0,24.0,351.0,61.0,282.0,8.0,1.0,147.13699878493316
Independence Township,5495.0,3.0,0.0,2.0,0.0,1.0,10.0,5.0,3.0,2.0,0.0,47.315741583257505
Interlaken,798.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,125.31328320802004
Irvington,54220.0,354.0,5.0,24.0,218.0,107.0,1277.0,229.0,656.0,392.0,0.0,601.6230173367761
Island Heights,1652.0,3.0,0.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,0.0,181.59806295399514
Jackson Township,56706.0,27.0,1.0,7.0,4.0,15.0,360.0,73.0,263.0,24.0,3.0,137.02253729764044
Jamesburg,6006.0,5.0,0.0,1.0,2.0,2.0,56.0,10.0,45.0,1.0,0.0,203.1302031302031
Jefferson Township,21071.0,5.0,0.0,0.0,0.0,5.0,84.0,16.0,64.0,4.0,0.0,84.47629443310711
Jersey City,270175.0,1233.0,17.0,89.0,458.0,669.0,4781.0,988.0,3190.0,603.0,20.0,445.9331914499861
Keansburg,9766.0,33.0,0.0,4.0,10.0,19.0,160.0,24.0,132.0,4.0,0.0,395.2488224452181
Kearny,42339.0,38.0,0.0,1.0,10.0,27.0,677.0,61.0,547.0,69.0,0.0,337.75006495193554
Kenilworth,8249.0,9.0,0.0,3.0,2.0,4.0,114.0,4.0,99.0,11.0,0.0,298.2179658140381
Keyport,7065.0,17.0,1.0,0.0,5.0,11.0,87.0,15.0,64.0,8.0,0.0,294.4090587402689
Kinnelon,10080.0,1.0,0.0,0.0,0.0,1.0,25.0,13.0,11.0,1.0,0.0,51.58730158730159
Lacey Township,28654.0,18.0,0.0,5.0,2.0,11.0,257.0,30.0,221.0,6.0,0.0,191.9452781461576
Lake Como,1710.0,2.0,0.0,1.0,0.0,1.0,16.0,3.0,13.0,0.0,0.0,210.52631578947367
Lakehurst,2672.0,9.0,0.0,0.0,3.0,6.0,30.0,4.0,25.0,1.0,0.0,291.9161676646707
Lakewood Township,102915.0,129.0,0.0,2.0,30.0,97.0,779.0,145.0,588.0,46.0,8.0,177.23363941116455
Lambertville,3811.0,2.0,0.0,0.0,0.0,2.0,44.0,5.0,34.0,5.0,0.0,241.40645499868802
Laurel Springs,1856.0,2.0,0.0,0.0,0.0,2.0,22.0,5.0,16.0,1.0,0.0,258.6206896551724
Lavallette,1824.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,21.0,0.0,0.0,252.19298245614033
Lawnside,2875.0,6.0,0.0,0.0,4.0,2.0,122.0,16.0,103.0,3.0,0.0,890.4347826086957
"Lawrence Township, Mercer County",32644.0,30.0,0.0,6.0,6.0,18.0,596.0,54.0,529.0,13.0,1.0,383.83776497978187
Lebanon Township,6070.0,3.0,0.0,0.0,0.0,3.0,28.0,13.0,15.0,0.0,0.0,102.14168039538716
Leonia,9175.0,3.0,0.0,0.0,0.0,3.0,74.0,28.0,41.0,5.0,0.0,167.8474114441417
Lincoln Park,10308.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,49.0,5.0,0.0,116.41443538998837
Linden,42806.0,122.0,1.0,16.0,39.0,66.0,1126.0,143.0,943.0,40.0,1.0,583.3294397981591
Lindenwold,17204.0,111.0,2.0,16.0,40.0,53.0,455.0,103.0,328.0,24.0,3.0,659.7302952801674
Linwood,6822.0,4.0,1.0,0.0,2.0,1.0,53.0,12.0,40.0,1.0,0.0,167.10642040457344
Little Egg Harbor Township,21087.0,4.0,1.0,0.0,1.0,2.0,241.0,38.0,194.0,9.0,2.0,233.31910655854315
Little Falls Township,14306.0,16.0,0.0,0.0,0.0,16.0,113.0,17.0,83.0,13.0,0.0,180.34391164546346
Little Ferry,10895.0,7.0,0.0,0.0,0.0,7.0,94.0,17.0,67.0,10.0,0.0,185.4061496099128
Little Silver,5898.0,2.0,0.0,0.0,0.0,2.0,34.0,3.0,27.0,4.0,0.0,122.07527975584944
Livingston Township,29820.0,23.0,0.0,2.0,3.0,18.0,277.0,22.0,238.0,17.0,1.0,201.54258886653253
Loch Arbour,181.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,441.9889502762431
Lodi,24720.0,28.0,0.0,3.0,9.0,16.0,254.0,37.0,184.0,33.0,1.0,228.5598705501618
Logan Township,5844.0,5.0,0.0,0.0,3.0,2.0,115.0,12.0,96.0,7.0,0.0,410.6776180698152
Long Beach Township,3029.0,3.0,0.0,0.0,0.0,3.0,59.0,5.0,53.0,1.0,1.0,412.67745130406075
Long Branch,30750.0,124.0,3.0,7.0,24.0,90.0,639.0,94.0,514.0,31.0,2.0,496.910569105691
