Municipality,County,MRI Score,Latitude,Longitude,Bing Search Link
Pemberton township,Burlington,-4.17,39.9548195,-74.59322386338975,https://www.bing.com/search?q=Pemberton township+New Jersey
Pennington borough,Mercer,4.84,40.3297222,-74.7922222,https://www.bing.com/search?q=Pennington borough+New Jersey
Pennsauken township,Camden,-6.55,39.9562238,-75.0579502,https://www.bing.com/search?q=Pennsauken township+New Jersey
Pennsville township,Salem,-4.01,39.6534464,-75.5165881,https://www.bing.com/search?q=Pennsville township+New Jersey
Pequannock township,Morris,2.45,40.9600102,-74.2974765,https://www.bing.com/search?q=Pequannock township+New Jersey
Perth Amboy city,Middlesex,-11.55,40.50638185,-74.26532639972744,https://www.bing.com/search?q=Perth Amboy city+New Jersey
Phillipsburg town,Warren,-8.27,40.6915956,-75.19536771193583,https://www.bing.com/search?q=Phillipsburg town+New Jersey
Pilesgrove township,Salem,-0.52,39.651565000000005,-75.28538586512916,https://www.bing.com/search?q=Pilesgrove township+New Jersey
Piscataway township,Middlesex,0.86,40.5462553,-74.4660408,https://www.bing.com/search?q=Piscataway township+New Jersey
Pittsgrove township,Salem,-1.84,39.528262999999995,-75.13114602622369,https://www.bing.com/search?q=Pittsgrove township+New Jersey
Plainfield city,Union,-8.65,40.6178735,-74.41661407216206,https://www.bing.com/search?q=Plainfield city+New Jersey
Plainsboro township,Middlesex,4.01,40.3334409,-74.6004341,https://www.bing.com/search?q=Plainsboro township+New Jersey
Pleasantville city,Atlantic,-15.54,39.382384650000006,-74.50227166580362,https://www.bing.com/search?q=Pleasantville city+New Jersey
Plumsted township,Ocean,-0.01,40.0500971,-74.4894892,https://www.bing.com/search?q=Plumsted township+New Jersey
Pohatcong township,Warren,1.14,40.639120500000004,-75.15066270732015,https://www.bing.com/search?q=Pohatcong township+New Jersey
Point Pleasant borough,Ocean,2.72,40.077944099999996,-74.06841289944211,https://www.bing.com/search?q=Point Pleasant borough+New Jersey
Princeton,Mercer,4.53,40.3496953,-74.6597376,https://www.bing.com/search?q=Princeton+New Jersey
Quinton township,Salem,-0.86,39.51407639999999,-75.36414226468347,https://www.bing.com/search?q=Quinton township+New Jersey
Rahway city,Union,-2.36,40.60470935,-74.2742865191658,https://www.bing.com/search?q=Rahway city+New Jersey
Randolph township,Morris,4.13,40.844265,-74.58572175018249,https://www.bing.com/search?q=Randolph township+New Jersey
Raritan township,Hunterdon,4.29,40.5042326,-74.8948569,https://www.bing.com/search?q=Raritan township+New Jersey
Readington township,Hunterdon,3.59,40.5687141,-74.7376619,https://www.bing.com/search?q=Readington township+New Jersey
Ridgefield borough,Bergen,1.41,40.836141,-73.99897119332752,https://www.bing.com/search?q=Ridgefield borough+New Jersey
Ridgewood village,Bergen,6.07,40.9795336,-74.1188684,https://www.bing.com/search?q=Ridgewood village+New Jersey
Riverside township,Burlington,-6.34,40.0323338,-74.9573908,https://www.bing.com/search?q=Riverside township+New Jersey
Robbinsville township,Mercer,5.24,40.2162828,-74.619833,https://www.bing.com/search?q=Robbinsville township+New Jersey
Rockaway borough,Morris,-0.24,40.898083549999996,-74.5178823,https://www.bing.com/search?q=Rockaway borough+New Jersey
Rockaway township,Morris,3.69,40.9302182,-74.4871818,https://www.bing.com/search?q=Rockaway township+New Jersey
Roosevelt borough,Monmouth,2.47,40.2212038,-74.4729598,https://www.bing.com/search?q=Roosevelt borough+New Jersey
Roselle borough,Union,-3.96,40.6583306,-74.26370770256875,https://www.bing.com/search?q=Roselle borough+New Jersey
Roxbury township,Morris,1.8,40.874768,-74.6564721,https://www.bing.com/search?q=Roxbury township+New Jersey
Rutherford borough,Bergen,2.53,40.8260991,-74.10834820148561,https://www.bing.com/search?q=Rutherford borough+New Jersey
Saddle Brook township,Bergen,1.51,39.8192263,-74.7870092,https://www.bing.com/search?q=Saddle Brook township+New Jersey
Sandyston township,Sussex,2.68,41.211343549999995,-74.7984879185563,https://www.bing.com/search?q=Sandyston township+New Jersey
Sayreville borough,Middlesex,0.55,40.4637333,-74.36199275040515,https://www.bing.com/search?q=Sayreville borough+New Jersey
Sea Bright borough,Monmouth,2.47,40.3619362,-73.9735419,https://www.bing.com/search?q=Sea Bright borough+New Jersey
Sea Isle City city,Cape May,2.51,39.1548404,-74.6897791,https://www.bing.com/search?q=Sea Isle City city+New Jersey
Seaside Park borough,Ocean,-0.25,39.93512135,-74.07296644943911,https://www.bing.com/search?q=Seaside Park borough+New Jersey
Secaucus town,Hudson,2.23,40.787857450000004,-74.05507768820948,https://www.bing.com/search?q=Secaucus town+New Jersey
Shamong township,Burlington,3.06,39.7824265,-74.73031677562192,https://www.bing.com/search?q=Shamong township+New Jersey
Shrewsbury township,Monmouth,-1.29,40.3120839,-74.0732274,https://www.bing.com/search?q=Shrewsbury township+New Jersey
Somers Point city,Atlantic,-5.4,39.3915262,-74.5621143,https://www.bing.com/search?q=Somers Point city+New Jersey
Somerville borough,Somerset,-1.0,40.57050295,-74.61962193751768,https://www.bing.com/search?q=Somerville borough+New Jersey
South Bound Brook borough,Somerset,-2.14,40.5575489,-74.5277602,https://www.bing.com/search?q=South Bound Brook borough+New Jersey
South Brunswick township,Middlesex,3.45,40.404123049999995,-74.56297792956349,https://www.bing.com/search?q=South Brunswick township+New Jersey
South Harrison township,Gloucester,2.35,39.700469,-75.26023440884146,https://www.bing.com/search?q=South Harrison township+New Jersey
South River borough,Middlesex,-4.18,40.44939105,-74.38121324254053,https://www.bing.com/search?q=South River borough+New Jersey
Southampton township,Burlington,0.2,39.931466,-74.7380885,https://www.bing.com/search?q=Southampton township+New Jersey
Sparta township,Sussex,4.3,41.0401567,-74.6310081,https://www.bing.com/search?q=Sparta township+New Jersey
Springfield township,Burlington,2.82,40.0431682,-74.6454353,https://www.bing.com/search?q=Springfield township+New Jersey
Springfield township,Union,2.92,40.0431682,-74.6454353,https://www.bing.com/search?q=Springfield township+New Jersey
Stafford township,Ocean,1.73,39.7114651,-74.2779616,https://www.bing.com/search?q=Stafford township+New Jersey
Stillwater township,Sussex,2.09,41.081960249999995,-74.8719416755313,https://www.bing.com/search?q=Stillwater township+New Jersey
Stow Creek township,Cumberland,-1.38,39.463100999999995,-75.33703317858384,https://www.bing.com/search?q=Stow Creek township+New Jersey
Surf City borough,Ocean,3.94,39.6604369,-74.16746815823342,https://www.bing.com/search?q=Surf City borough+New Jersey
Sussex borough,Sussex,-4.91,41.205879100000004,-74.6121120374283,https://www.bing.com/search?q=Sussex borough+New Jersey
Tabernacle township,Burlington,1.99,39.8440047,-74.7101587,https://www.bing.com/search?q=Tabernacle township+New Jersey
Teaneck township,Bergen,1.78,40.8860164,-74.0072568,https://www.bing.com/search?q=Teaneck township+New Jersey
Tewksbury township,Hunterdon,5.48,40.68446,-74.77872996732026,https://www.bing.com/search?q=Tewksbury township+New Jersey
Tinton Falls borough,Monmouth,1.23,40.2982823,-74.0908161,https://www.bing.com/search?q=Tinton Falls borough+New Jersey
Toms River township,Ocean,0.13,39.9526791,-74.1968257,https://www.bing.com/search?q=Toms River township+New Jersey
Totowa borough,Passaic,-0.38,40.9070432,-74.2029231,https://www.bing.com/search?q=Totowa borough+New Jersey
Trenton city,Mercer,-16.82,40.2307232,-74.7556166,https://www.bing.com/search?q=Trenton city+New Jersey
Union Beach borough,Monmouth,0.84,40.4393213,-74.17915758404145,https://www.bing.com/search?q=Union Beach borough+New Jersey
Union township,Union,0.03,40.6695453,-74.9240573,https://www.bing.com/search?q=Union township+New Jersey
Union township,Hunterdon,1.81,40.6695453,-74.9240573,https://www.bing.com/search?q=Union township+New Jersey
Upper Deerfield township,Cumberland,-5.66,39.49499095,-75.21500358903744,https://www.bing.com/search?q=Upper Deerfield township+New Jersey
Upper Freehold township,Monmouth,4.96,40.1375693,-74.4939695,https://www.bing.com/search?q=Upper Freehold township+New Jersey
Upper Pittsgrove township,Salem,-1.29,39.61153705,-75.19839172524831,https://www.bing.com/search?q=Upper Pittsgrove township+New Jersey
Upper township,Cape May,2.8,39.217999,-74.7068931,https://www.bing.com/search?q=Upper township+New Jersey
Ventnor City city,Atlantic,-2.6,39.3405045,-74.4773916,https://www.bing.com/search?q=Ventnor City city+New Jersey
Vernon township,Sussex,1.67,41.1984287,-74.4832132,https://www.bing.com/search?q=Vernon township+New Jersey
Verona township,Essex,4.25,40.6424457,-74.4856528,https://www.bing.com/search?q=Verona township+New Jersey
Voorhees township,Camden,1.42,39.8512162,-74.9619779,https://www.bing.com/search?q=Voorhees township+New Jersey
Wall township,Monmouth,3.85,40.1743052,-74.0902219,https://www.bing.com/search?q=Wall township+New Jersey
Walpack township,Sussex,4.28,41.135886400000004,-74.89577700689182,https://www.bing.com/search?q=Walpack township+New Jersey
Wanaque borough,Passaic,0.7,41.0503746,-74.2884822,https://www.bing.com/search?q=Wanaque borough+New Jersey
Wantage township,Sussex,0.35,41.2442617,-74.5507156,https://www.bing.com/search?q=Wantage township+New Jersey
Warren township,Somerset,4.99,40.63065715,-74.52266308479568,https://www.bing.com/search?q=Warren township+New Jersey
Washington borough,Warren,-3.81,40.7631045,-74.98513755638766,https://www.bing.com/search?q=Washington borough+New Jersey
Washington township,Burlington,-1.11,40.9884843,-74.0652437,https://www.bing.com/search?q=Washington township+New Jersey
Washington township,Gloucester,1.63,40.9884843,-74.0652437,https://www.bing.com/search?q=Washington township+New Jersey
Washington township,Warren,1.88,40.9884843,-74.0652437,https://www.bing.com/search?q=Washington township+New Jersey
Washington township,Bergen,4.68,40.9884843,-74.0652437,https://www.bing.com/search?q=Washington township+New Jersey
Washington township,Morris,4.74,40.9884843,-74.0652437,https://www.bing.com/search?q=Washington township+New Jersey
Waterford township,Camden,-2.33,39.7321715,-74.80109551268784,https://www.bing.com/search?q=Waterford township+New Jersey
Wayne township,Passaic,3.05,40.9018775,-74.26336332560871,https://www.bing.com/search?q=Wayne township+New Jersey
Weehawken township,Hudson,0.92,39.8590453,-74.2062003,https://www.bing.com/search?q=Weehawken township+New Jersey
West Amwell township,Hunterdon,3.97,40.3989633,-74.9075666,https://www.bing.com/search?q=West Amwell township+New Jersey
West Deptford township,Gloucester,-0.64,39.832362,-75.1888708,https://www.bing.com/search?q=West Deptford township+New Jersey
West Milford township,Passaic,2.06,41.1293883,-74.36921800417564,https://www.bing.com/search?q=West Milford township+New Jersey
West Windsor township,Mercer,5.21,40.3224396,-74.60027289692613,https://www.bing.com/search?q=West Windsor township+New Jersey
Westampton township,Burlington,1.63,40.0155412,-74.8280828,https://www.bing.com/search?q=Westampton township+New Jersey
Westfield town,Union,6.14,40.6550742,-74.34541515542614,https://www.bing.com/search?q=Westfield town+New Jersey
Weymouth township,Atlantic,-4.42,39.41081595,-74.82452168305988,https://www.bing.com/search?q=Weymouth township+New Jersey
White township,Warren,-0.52,40.822222499999995,-75.03387381831685,https://www.bing.com/search?q=White township+New Jersey
Wildwood city,Cape May,-15.57,38.9865966,-74.82205711170886,https://www.bing.com/search?q=Wildwood city+New Jersey
Wildwood Crest borough,Cape May,-5.59,38.9626747,-74.850841,https://www.bing.com/search?q=Wildwood Crest borough+New Jersey
Willingboro township,Burlington,-3.53,40.0289423,-74.8808221,https://www.bing.com/search?q=Willingboro township+New Jersey
Winfield township,Union,-4.76,40.63507735,-74.28719099705782,https://www.bing.com/search?q=Winfield township+New Jersey
Winslow township,Camden,-4.66,39.6573385,-74.8623868,https://www.bing.com/search?q=Winslow township+New Jersey
Woodbridge township,Middlesex,0.09,40.5576045,-74.2845911,https://www.bing.com/search?q=Woodbridge township+New Jersey
Woodbury city,Gloucester,-6.38,39.8452327,-75.1472368,https://www.bing.com/search?q=Woodbury city+New Jersey
Woodland township,Burlington,-3.83,39.842074999999994,-74.52305759309112,https://www.bing.com/search?q=Woodland township+New Jersey
Woodstown borough,Salem,-1.92,39.6512867,-75.3291382,https://www.bing.com/search?q=Woodstown borough+New Jersey
Woolwich township,Gloucester,2.89,39.741482500000004,-75.34805549921285,https://www.bing.com/search?q=Woolwich township+New Jersey
Wyckoff township,Bergen,5.08,40.2034457,-74.2557009,https://www.bing.com/search?q=Wyckoff township+New Jersey
